================================================================================
DETAILED LATENCY REPORT
================================================================================
Rank  Name                                              Latency   Region  Score   
92    S5公益优选 | 枫叶之国 | CA | 5.61.27.190:2087             201ms     CA      0.3575  
93    S5公益优选 | 枫叶之国 | CA | 158.69.220.106:8443          202ms     CA      0.3822  
94    S5公益优选 | 枫叶之国 | CA | 51.222.136.162:8443          202ms     CA      0.3182  
95    S5公益优选 | 枫叶之国 | CA | 45.133.17.118:443            203ms     CA      0.3994  
96    S5公益优选 | 枫叶之国 | CA | 172.93.32.237:443            213ms     CA      0.3063  
97    S5公益优选 | 枫叶之国 | CA | 65.49.232.101:443            222ms     CA      0.4009  
98    S5公益优选 | 枫叶之国 | CA | 24.109.36.190:8443           223ms     CA      0.3594  
99    S5公益优选 | 枫叶之国 | CA | 24.84.0.55:8443              229ms     CA      0.3164  
100   S5公益优选 | 枫叶之国 | CA | 138.197.161.103:443          265ms     CA      0.3043  
101   S5公益优选 | 大嘤帝国 | UK | 145.241.230.227:2053         359ms     UK      0.3201  
102   S5公益优选 | 风车郁金 | NL | 213.183.61.100:2053          366ms     NL      0.3757  
103   S5公益优选 | 大嘤帝国 | UK | 132.145.46.142:443           366ms     UK      0.3354  
104   S5公益优选 | 大嘤帝国 | UK | 188.119.149.172:443          367ms     UK      0.3658  
105   S5公益优选 | 🇮🇪 爱尔兰 03 | 63.32.194.15:2053            370ms     OTHER   0.3919  
106   S5公益优选 | 大嘤帝国 | UK | 149.102.157.131:443          371ms     UK      0.3564  
107   S5公益优选 | 风车郁金 | NL | 193.123.63.250:443           371ms     NL      0.3283  
108   S5公益优选 | 风车郁金 | NL | 185.6.13.50:443              372ms     NL      0.3706  
109   S5公益优选 | 大嘤帝国 | UK | 77.68.16.137:443             373ms     UK      0.3294  
110   天诚优选1 | 战争贩子 | US | 216.23.122.8:443              376ms     US      0.6851  
111   S5公益优选 | 大嘤帝国 | UK | 18.171.163.34:443            376ms     UK      0.3944  
112   洛璃优选 | 小日本儿 JP | 85.149.218.105:443               377ms     JP      0.9821  
113   天诚优选1 | 小日本儿 | JP | 104.238.149.30:443            377ms     JP      0.9735  
114   NL-213.183.51.211:443                             377ms     NL      0.3975  
115   洛璃优选 | 09-21 08:32 | BestCF.pages.dev             378ms     OTHER   0.3795  
116   天诚优选1 | 战争贩子 | US | 69.8.128.249:8443             379ms     US      0.6710  
117   S5公益优选 | 风车郁金 | NL | 195.133.36.128:443           379ms     NL      0.3700  
118   S5公益优选 | 大嘤帝国 | UK | 78.141.239.13:443            379ms     UK      0.3237  
119   S5公益优选 | 小日本儿 | JP | 172.238.18.137:443           380ms     JP      0.9479  
120   天诚优选1 | 小日本儿 | JP | 207.148.90.139:443            380ms     JP      0.9257  
121   S5公益优选 | 大嘤帝国 | UK | 35.176.187.206:443           380ms     UK      0.3784  
122   S5公益优选 | 风车郁金 | NL | 85.136.114.36:8443           380ms     NL      0.3497  
123   S5公益优选 | 大嘤帝国 | UK | 78.141.206.87:8443           380ms     UK      0.3114  
124   S5公益优选 | 大嘤帝国 | UK | 52.56.194.132:443            381ms     UK      0.3654  
125   S5公益优选 | 风车郁金 | NL | 148.227.170.234:8443         381ms     NL      0.3061  
126   天诚优选1 | 港岛茶记 | HK | 45.192.200.180:2083           382ms     HK      0.9982  
127   NL-31.15.19.180:443                               383ms     NL      0.3271  
128   S5公益优选 | 小日本儿 | JP | 18.182.141.80:443            385ms     JP      0.9952  
129   天诚优选1 | 港岛茶记 | HK | 45.192.201.140:443            385ms     HK      0.9929  
130   天诚优选1 | 港岛茶记 | HK | 45.192.203.153:443            386ms     HK      0.9115  
131   S5公益优选 | 每日乳法 | FR | 217.60.63.233:2053           386ms     FR      0.3879  
132   S5公益优选 | 风车郁金 | NL | 94.237.40.91:443             386ms     NL      0.3699  
133   S5公益优选 | 🇮🇪 爱尔兰 01 | 54.229.164.147:8443          386ms     OTHER   0.3620  
134   S5公益优选 | 大嘤帝国 | UK | 18.134.196.127:443           386ms     UK      0.3549  
135   天诚优选1 | 小日本儿 | JP | 158.101.65.33:8443            387ms     JP      0.9797  
136   洛璃优选 | 小日本儿 JP | 23.147.232.216:443               387ms     JP      0.9566  
137   JP [高速 by Jz 28M]                                 387ms     JP      0.9082  
138   S5公益优选 | 每日乳法 | FR | 31.56.176.239:443            388ms     FR      0.3751  
139   S5公益优选 | 风车郁金 | NL | 62.171.228.60:443            388ms     NL      0.3489  
140   S5公益优选 | 风车郁金 | NL | 213.183.51.71:443            388ms     NL      0.3347  
141   NRT-JP-7                                          389ms     JP      0.9699  
142   S5公益优选 | 小日本儿 | JP | 3.112.67.101:443             389ms     JP      0.9594  
143   天诚优选1 | 战争贩子 | US | 209.33.174.190:443            390ms     US      0.6958  
144   S5公益优选 | 每日乳法 | FR | 13.37.29.92:443              390ms     FR      0.3361  
145   S5公益优选 | 每日乳法 | FR | 217.60.252.115:443           391ms     FR      0.3981  
146   S5公益优选 | 风车郁金 | NL | 45.143.166.207:443           391ms     NL      0.3595  
147   S5公益优选 | 风车郁金 | NL | 62.171.228.235:8443          391ms     NL      0.3269  
148   S5公益优选 | 小日本儿 | JP | 54.168.245.61:443            392ms     JP      0.9112  
149   S5公益优选 | 风车郁金 | NL | 217.177.11.81:443            392ms     NL      0.3471  
150   S5公益优选 | 小日本儿 | JP | 124.156.215.193:443          393ms     JP      0.9821  
151   天诚优选1 | 港岛茶记 | HK | 45.192.200.205:443            393ms     HK      0.9363  
152   S5公益优选 | 🇨🇭 瑞士 19 | 185.195.69.72:443             393ms     OTHER   0.3896  
153   S5公益优选 | 元首复活 | DE | 64.226.95.244:2096           394ms     DE      0.3309  
154   S5公益优选 | 大嘤帝国 | UK | 52.56.194.238:8443           394ms     UK      0.3128  
155   S5公益优选 | 大嘤帝国 | UK | 87.106.52.3:443              395ms     UK      0.3621  
156   S5公益优选 | 小日本儿 | JP | 172.104.80.248:443           396ms     JP      0.9879  
157   天诚优选1 | 小日本儿 | JP | 193.123.160.110:443           396ms     JP      0.9633  
158   S5公益优选 | 🇪🇸 西班牙 05 | 31.57.190.27:443             396ms     OTHER   0.3799  
159   S5公益优选 | 🇧🇪 比利时 02 | 141.227.186.38:2053          396ms     OTHER   0.3705  
160   S5公益优选 | 🇪🇸 西班牙 18 | 31.57.190.69:443             396ms     OTHER   0.3562  
161   S5公益优选 | 🇮🇪 爱尔兰 02 | 63.32.194.15:8443            396ms     OTHER   0.3135  
162   S5公益优选 | 🇪🇸 西班牙 07 | 31.57.190.88:443             397ms     OTHER   0.3819  
163   S5公益优选 | 大嘤帝国 | UK | 217.154.53.220:443           397ms     UK      0.3807  
164   S5公益优选 | 🇪🇸 西班牙 14 | 31.57.190.87:443             398ms     OTHER   0.3774  
165   S5公益优选 | 每日乳法 | FR | 45.38.228.237:2053           398ms     FR      0.3392  
166   FRA-DE-5                                          398ms     DE      0.3353  
167   S5公益优选 | 🇨🇭 瑞士 12 | 199.68.196.28:443             398ms     OTHER   0.3048  
168   S5公益优选 | 小日本儿 | JP | 147.79.20.197:443            399ms     JP      0.9279  
169   S5公益优选 | 🇪🇸 西班牙 03 | 31.57.190.49:443             399ms     OTHER   0.3846  
170   S5公益优选 | 🇪🇸 西班牙 13 | 31.57.190.85:443             399ms     OTHER   0.3406  
171   S5公益优选 | 元首复活 | DE | 130.17.10.101:443            399ms     DE      0.3180  
172   JP [高速 by Jz 27M]                                 400ms     JP      0.9907  
173   JP [高速 by Jz 19M]                                 400ms     JP      0.9499  
174   天诚优选1 | 小日本儿 | JP | 23.27.11.182:8443             400ms     JP      0.9338  
175   S5公益优选 | 🇪🇸 西班牙 09 | 31.57.190.96:443             400ms     OTHER   0.3725  
176   S5公益优选 | 元首复活 | DE | 64.226.88.144:2083           401ms     DE      0.3358  
177   S5公益优选 | 元首复活 | DE | 79.132.140.36:443            401ms     DE      0.3089  
178   NRT-JP-5                                          402ms     JP      0.9572  
179   S5公益优选 | 元首复活 | DE | 89.127.210.133:8443          402ms     DE      0.3350  
180   S5公益优选 | 每日乳法 | FR | 31.58.76.68:8443             402ms     FR      0.3145  
181   S5公益优选 | 大嘤帝国 | UK | 35.178.212.67:443            403ms     UK      0.3506  
182   S5公益优选 | 风车郁金 | NL | 89.127.195.44:8443           403ms     NL      0.3500  
183   S5公益优选 | 每日乳法 | FR | 45.39.255.211:8443           403ms     FR      0.3340  
184   S5公益优选 | 小日本儿 | JP | 43.167.246.133:443           404ms     JP      1.0006  
185   天诚优选1 | 小日本儿 | JP | 149.62.44.239:443             404ms     JP      1.0005  
186   S5公益优选 | 🇪🇸 西班牙 20 | 31.57.190.58:443             404ms     OTHER   0.3982  
187   S5公益优选 | 🇪🇸 西班牙 08 | 31.57.190.82:443             405ms     OTHER   0.3672  
188   S5公益优选 | 每日乳法 | FR | 94.183.187.80:443            405ms     FR      0.3380  
189   S5公益优选 | 每日乳法 | FR | 45.39.255.27:2053            405ms     FR      0.3351  
190   FR-217.60.37.28:8443                              405ms     FR      0.3260  
191   S5公益优选 | 每日乳法 | FR | 45.38.228.94:8443            405ms     FR      0.3174  
192   S5公益优选 | 🇪🇸 西班牙 10 | 31.57.190.61:443             405ms     OTHER   0.3132  
193   S5公益优选 | 小日本儿 | JP | 156.246.93.242:443           406ms     JP      0.9733  
194   S5公益优选 | 🇨🇭 瑞士 01 | 107.189.7.124:2053            406ms     OTHER   0.3805  
195   NRT-JP-6                                          407ms     JP      0.9887  
196   天诚优选1 | 港岛茶记 | HK | 45.192.201.197:443            407ms     HK      0.9448  
197   S5公益优选 | 🇨🇭 瑞士 08 | 176.10.125.114:443            407ms     OTHER   0.3996  
198   S5公益优选 | 🇪🇸 西班牙 02 | 179.255.189.17:443           407ms     OTHER   0.3420  
199   S5公益优选 | 每日乳法 | FR | 217.60.37.34:443             407ms     FR      0.3307  
200   S5公益优选 | 🇨🇭 瑞士 07 | 185.195.69.64:443             407ms     OTHER   0.3303  
201   S5公益优选 | 🇪🇸 西班牙 16 | 31.57.190.62:443             407ms     OTHER   0.3277  
202   S5公益优选 | 每日乳法 | FR | 95.182.82.191:443            407ms     FR      0.3152  
203   S5公益优选 | 元首复活 | DE | 89.127.218.60:2096           408ms     DE      0.3868  
204   FR-31.58.76.50:2053                               408ms     FR      0.3771  
205   S5公益优选 | 每日乳法 | FR | 217.60.63.14:2053            408ms     FR      0.3747  
206   S5公益优选 | 每日乳法 | FR | 217.60.63.206:2053           408ms     FR      0.3692  
207   S5公益优选 | 🇨🇭 瑞士 09 | 91.192.102.55:443             408ms     OTHER   0.3483  
208   S5公益优选 | 🇨🇭 瑞士 18 | 89.127.196.31:443             409ms     OTHER   0.3177  
209   S5公益优选 | 每日乳法 | FR | 31.57.109.126:8443           410ms     FR      0.3587  
210   S5公益优选 | 元首复活 | DE | 64.226.95.244:8443           410ms     DE      0.3180  
211   S5公益优选 | 每日乳法 | FR | 217.60.39.39:8443            410ms     FR      0.3065  
212   S5公益优选 | 小日本儿 | JP | 139.162.81.219:8443          411ms     JP      0.9473  
213   S5公益优选 | 🇸🇪 瑞典 10 | 185.117.88.115:443            411ms     OTHER   0.3657  
214   S5公益优选 | 🇪🇸 西班牙 11 | 31.57.190.47:443             411ms     OTHER   0.3452  
215   S5公益优选 | 🇪🇸 西班牙 12 | 31.57.190.68:443             411ms     OTHER   0.3267  
216   天诚优选1 | 小日本儿 | JP | 13.115.208.4:443              412ms     JP      0.9390  
217   S5公益优选 | 🇧🇪 比利时 03 | 194.71.227.213:443           412ms     OTHER   0.3875  
218   FRA-DE-3                                          412ms     DE      0.3387  
219   S5公益优选 | 🇪🇸 西班牙 19 | 31.57.190.24:443             413ms     OTHER   0.3145  
220   S5公益优选 | 元首复活 | DE | 194.48.142.42:443            414ms     DE      0.3633  
221   S5公益优选 | 每日乳法 | FR | 94.183.188.21:443            414ms     FR      0.3372  
222   S5公益优选 | 每日乳法 | FR | 51.91.124.207:8443           414ms     FR      0.3058  
223   S5公益优选 | 元首复活 | DE | 94.16.109.71:8443            415ms     DE      0.3743  
224   S5公益优选 | 🇨🇭 瑞士 20 | 194.154.29.81:443             415ms     OTHER   0.3274  
225   S5公益优选 | 🇪🇸 西班牙 04 | 31.57.190.54:443             415ms     OTHER   0.3062  
226   S5公益优选 | 🇪🇸 西班牙 15 | 31.57.190.77:443             416ms     OTHER   0.3763  
227   S5公益优选 | 元首复活 | DE | 5.187.0.164:443              416ms     DE      0.3546  
228   天诚优选1 | 小日本儿 | JP | 185.200.64.17:443             417ms     JP      0.9762  
229   天诚优选1 | 战争贩子 | US | 50.114.113.191:443            417ms     US      0.6109  
230   S5公益优选 | 大嘤帝国 | UK | 213.1.145.50:443             417ms     UK      0.3152  
231   S5公益优选 | 小日本儿 | JP | 156.246.91.88:443            418ms     JP      0.9789  
232   S5公益优选 | 元首复活 | DE | 185.210.154.123:443          418ms     DE      0.3810  
233   S5公益优选 | 风车郁金 | NL | 193.233.127.143:443          418ms     NL      0.3187  
234   S5公益优选 | 大嘤帝国 | UK | 212.134.174.181:443          419ms     UK      0.3872  
235   S5公益优选 | 🇪🇸 西班牙 06 | 31.57.190.71:443             419ms     OTHER   0.3545  
236   S5公益优选 | 🇨🇭 瑞士 17 | 141.227.149.235:2053          420ms     OTHER   0.3574  
